abandona, abbandona
abandoni, abbandoni
abandono, abbandono
abonda, abbonda
? acanto, accanto
aguto, acuto
aguta, acuta
aguti, acuti
agute, acute
adorna, addorna
adombra, aombra
aguati, agguati
altretanto, altrettanto
argomenti, argumenti
argomento, argumento
avampa, avvampa
avede, avvede
aventa, avventa
avicini, avvicini
avolti, avvolti
benetetto, benedetto
camina, cammina
cheta, quieta
cobrire, coprire
comandato, commandato
concedi, conciedi
coscienza, conscienza
consperso, cosperso
costante, constante
desira, disira
devote, divote
dimanda, domanda
dispose, dispuose
dimanda, domanda
dimando, domando
entrata, intrata
entrai, intrai
entrare, intrare
esausto, essausto
eterna, etterna
evangelista, vangelista
evangelo, vangelo
gualoppo, galoppo
iguali, uguali
imperadrice, imperatrice
imperadore, imperatore
entrare, intrare
isnella, snella
istrane, strane
matutina, mattutina
mbianca (if), imbianca
mpiastro, impiastro
mpresa, impresa
ncarco, incarco
ncontra, incontra
ncrebbe, increbbe
nganno, inganno
nganni, inganni
ngegno, ingegno
ngegni, ingegni
ngrossa, ingrossa
nnamora, innamora
nobiltade, nobilitade
nsegna, insegna
nsembre, insembre
nsieme, insieme
ntelletto, intelletto
ntesa, intesa
ntese, intese
nteso, inteso
nvito, invito
nvoglia, invoglia
nvolti, involti
opinione, oppinione
ormai, oramai
pellegrina, peregrina
ramenta, rammenta
recetto, ricetto
reposta, riposta
respetto (d), rispetto
reciso, riciso
ritruova, ritrova
ritruove, ritrove
segnore, signore
soblima, sublima
soblima, sublima
sone, suone
suprema, supprema
ubidente, ubbidiente, ubidente
zafiro, zaffiro
